question	answer	question_seg	question_seg_stop
Eztrader登录报错，提示“登录失败H2Databasemaybealreadyinuse:“Lockedbyanotherprocess”.Possiblesolution:closeallotherconnevtion(s):usethe…”,请问是什么原因？	一般是因为有其它的程序使用了数据库，造成eztrader访问不了，建议检查本地连接数据库。	['登录', '报错', '提示', '登录', '失败', '请问', '是', '什么', '原因']	 登录 报错 提示 登录 失败 请问 原因
基金账户可以做国债逆回购吗？	可以。	['基金', '账户', '可以', '做', '国债', '逆回购', '吗']	 基金 账户 做 国债 逆回购
上市公司分红当天的全体股东名册是自动发放还是需要单独申请？	自动发放。	['上市公司', '分红', '当天', '的', '全体', '股东', '名册', '是', '自动', '发放', '还是', '需要', '单独', '申请']	 上市公司 分红 当天 全体 股东 名册 自动 发放 需要 单独 申请
上证指数是如何计算的？	http://www.sse.com.cn/market/sseindex/calculation/c/sse_indices_cal_and_main_cn.pdf	['上证指数', '是', '如何', '计算', '的']	 上证指数 计算
如何判断行权成功？会下发什么文件？	行权委托是否成功可参考交易所返回的委托确认。E日发生的股票期权行权，中国结算E日日终进行行权指派。行权结果以登记公司盘后文件为准。	['如何', '判断', '行权', '成功', '会', '下发', '什么', '文件']	 判断 行权 成功 会 下发 文件
上海证券交易所行情经营许可业务如何申请？	上证所信息网络有限公司地址上海市浦东南路528号（200120）传真+8621-68792027http://ywtb.sseinfo.com/ywtb/	['上海证券交易所', '行情', '经营', '许可', '业务', '如何', '申请']	 上海证券交易所 行情 经营 许可 业务 申请
代征集及网络投票业务（网站投票）	上证所信息网络有限公司技术支持电话:021-68791161业务联系电话:021-68801544http://vote.sseinfo.com/margin/meetingListByTime	['代', '征集', '及', '网络', '投票', '业务', '网站', '投票']	 代 征集 网络 投票 业务 网站 投票
历史行情交易数据需求	上证所信息网络有限公司http://www.sseinfo.com/infonet/web/static_do_method_singleInfoColumn_columnID_001002001023.htm	['历史', '行情', '交易', '数据', '需求']	 历史 行情 交易 数据 需求
新公司业务管理系统校验的董监高A股账户信息是截止到什么时候的？	系统每天上午10点发出的关于A股账户信息的提醒，是根据上市公司前一交易日18:00前维护的信息进行计算的结果。	['新', '公司', '业务', '管理系统', '校验', '的', '董监高', '股', '账户', '信息', '是', '截止', '到', '什么', '时候', '的']	 新 公司 业务 管理系统 校验 董监高 股 账户 信息 截止 到
是否存在同一个证券在上交所和深交所都上市的可能？两市会有重复的证券代码吗？	沪深两地交易所对段的分配标准不同，也许会出现同一个证券代码，但其所代表的证券截然不同，并且同一个证券也不能在两地同时上市交易。	['是否', '存在', '同一个', '证券', '在', '上交所', '和', '深交所', '都', '上市', '的', '可能', '两市', '会', '有', '重复', '的', '证券', '代码', '吗']	 是否 存在 同一个 证券 上交所 深交所 都 上市 可能 两市 会 重复 证券 代码
新公司业务管理系统中在哪里可以进行董监高持股变动申报？	资料填报-》上市公司信息维护-》董监高信息-》持股变动申报。	['新', '公司', '业务', '管理系统', '中', '在', '哪里', '可以', '进行', '董监高', '持股', '变动', '申报']	 新 公司 业务 管理系统 中 进行 董监高 持股 变动 申报
上海证券交易所各类审核、登记事项办理指南	上海证券交易所审核、登记事项公开一览表（2014年12月）上海证券交易所审核、登记事项办理指南（2014年12月）http://www.sse.com.cn/lawandrules/ma/c/3866241.pdf	['上海证券交易所', '各类', '审核', '登记', '事项', '办理', '指南']	 上海证券交易所 各类 审核 登记 事项 办理 指南
指定交易结果查询	上证所信息网络有限公司服务咨询热线4008888400https://zdjy.sseinfo.com/	['指定', '交易', '结果', '查询']	 指定 交易 查询
上海证券交易所收费及代收税费	上海证券交易所收费及代收税费一览表联系部门及电话财务部68808321http://biz.sse.com.cn/sseportal/ps/zhs/sczn/jyfy2.shtml	['上海证券交易所', '收费', '及', '代收', '税费']	 上海证券交易所 收费 代收 税费
债券详细信息及质押券代码	首先进入债券的信息披露页面再选择相应的债券类型。http://bond.sse.com.cn/disclosure/	['债券', '详细信息', '及', '质押', '券', '代码']	 债券 详细信息 质押 券 代码
上海证券交易所新股发行哪里可以查到？	上海证券交易所新股发行一览http://ipo.sseinfo.com/info/xgfxyl/	['上海证券交易所', '新股', '发行', '哪里', '可以', '查', '到']	 上海证券交易所 新股 发行 查 到
ODU灯不亮	检查发射电缆是否正确连接；发射端电缆头是否损坏，接触是否良好。	['灯不亮']	 灯不亮
营业部唯一码查询	会员公司列表点击公司名称显示所有此公司的营业部，可找到相应的唯一码。http://www.sse.com.cn/market/othersdata/memberdata/memberlist//	['营业部', '唯一', '码', '查询']	 营业部 唯一 码 查询
SAT灯不亮	检查接收电缆是否正确连接接收电缆对应连接RXIN端口，发射电缆对应连接TXOUT端口；接收端电缆头是否损坏；检查室外天线反射面是否有遮挡物，天线方位是否有明显偏移。	['灯不亮']	 灯不亮
新股配号中签结果查询	上证所信息网络有限公司服务咨询热线4008888400http://phzq.sseinfonet.com/	['新股', '配号', '中签', '结果', '查询']	 新股 配号 中签 查询
SAT灯一直慢闪	仅接收同步时为慢闪，但如果一直慢闪说明接收也没有同步。检查ODU灯是否亮；发射端电缆是否连接正常。	['灯', '一直', '慢闪']	 灯 一直 慢闪
个人投资者参与风险警示板股票交易的适当性管理	个人投资者买入退市整理股票的，应当具备2年以上的股票交易经历，且以本人名义开立的证券账户和资金账户内的资产（不含通过融资融券交易融入的证券和资金）在人民币50万元以上。不符合以上规定的个人投资者，仅可卖出已持有的退市整理股票。会员应当要求首次委托买入风险警示股票或者退市整理股票的客户，以书面或电子形式分别签署《风险警示股票风险揭示书》和《退市整理股票风险揭示书》。客户未签署《风险揭示书》的，会员不得接受其买入委托。	['个人', '投资者', '参与', '风险', '警示', '板', '股票交易', '的', '适当', '性', '管理']	 个人 投资者 参与 风险 警示 板 股票交易 适当 性 管理
开机后POWER灯不亮	RCST电源启动失败，检查插座是否正常供电；RCST电源线是否接触良好。	['开机', '后', '灯不亮']	 开机 后 灯不亮
SAT灯一直快闪，无法建立同步	进行发射同步时为快闪，如果一直快闪，说明发射也没有同步。确认电缆连接是否正常，连接电缆头是否松动；确认主站已经打开相应的权限。	['灯', '一直', '快', '闪', '无法', '建立', '同步']	 灯 一直 快 闪 无法 建立 同步
ALM灯亮	一般是硬件故障，用户应及时报修	['灯亮']	 灯亮
电信DTU故障	DTU其实是电信提供的基带MODEM设备，是将数字信号转换为电信信号的传输设备。以新桥的DTU2601设备为例，在面板正面有四种状态指示灯，分别是LINE灯（DDN线路接入指示灯）、POWER灯（电源指示灯）、DTR灯（端口连接指示灯）、READY灯（线路开通指示灯）。通常情况下可以根据指示灯的状态判断DTU设备的工作情况。不同的DDN速率接入不同的DTU型号。	['电信', '故障']	 电信 故障
DDN通信故障报修流程图	流程图	['通信', '故障', '报修', '流程图']	 通信 故障 报修 流程图
设备故障	设备故障包括路由设备故障、NIC故障、转换器设备故障等。1）路由设备因为电压、温度、湿度、灰尘或静电等问题而损害，造成通讯中断，选购相应的新设备是解决这种问题的唯一途径。2）NIC故障基本出现在PC设备中，更换NIC即能解决。3）转换器故障（CISCO2500系列路由采用AUI接口），目前大多数用户使用CISCO2600E1RJ48接口。路由设备在与其他设备进行连接时，如果转换器或接口出现故障，路由与报盘机之间将无法建立连接通讯。当转换器出现故障时，路由设备上会出现清楚提示转换器故障信息。	['设备', '故障']	 设备 故障
如何关闭HN7700接收机电源	该接收机没有电源开关，用户若要关闭接收机，只需将电源线拔掉即可	['如何', '关闭', '接收机', '电源']	 关闭 接收机 电源
DDN专线故障如何解决？	在日常的DDN维护工作中，DDN专线问题引发的通信故障是较为常见的一种，多出现于用户端，在路由设备上表现为Serial0/0isdown,lineprotocolisdown。造成这种通信故障的原因多数属于电信局端设备或线路中继故障引起的，向电信进行报修(962112)，基本上可以解决。	['专线', '故障', '如何', '解决']	 专线 故障 解决
双向卫星小站正常工作时接收机面板工作灯状态？	当双向小站处于正常工作状态时，应该是PWR灯常亮，ODU灯常亮，SAT灯常亮；ALM灯不亮。	['双向', '卫星', '小站', '正常', '工作', '时', '接收机', '面板', '工作', '灯', '状态']	 双向 卫星 小站 正常 工作 时 接收机 面板 工作 灯 状态
卫星接收机的LAN1和LAN2口是否均可使用	均可使用，但LAN1口没有设置ip地址，无法接收到点播(unicast)数据以及需要授权接收的组播行情（如通过UT5接收的level-2行情、港股行情）。默认均使用LAN2口。	['卫星', '接收机', '的', '和', '口', '是否', '均', '可', '使用']	 卫星 接收机 口 是否 均 使用
如选择2MSDH线路接入，上交所技术公司是否提供代收代付服务？	目前不提供代收代付服务，客户须自行申请2MSDH线路。	['如', '选择', '线路', '接入', '上交所', '技术', '公司', '是否', '提供', '代收', '代付', '服务']	 选择 线路 接入 上交所 技术 公司 是否 提供 代收 代付 服务
如何确定接收机处于正常工作状态	HN7700处于正常工作状态时，前面板的状态指示灯从上至下依次为lan闪亮、receive常亮、system常亮、power常亮。	['如何', '确定', '接收机', '处于', '正常', '工作', '状态']	 确定 接收机 处于 正常 工作 状态
行情接收软件接收不到任何数据包	1）请确认HN7700的receive灯是否常亮。2）若receive灯不亮，说明接收机未锁定配置的载波，请检查接收机背面的SatelliteIn连线是否可靠，若连线正常，请尝试断电重新启动接收机。如果重新启动后receive灯仍然不亮，则可能是接收机故障/高频头故障/对星问题或中频电缆长度过长，可直接向我公司报修，24小时报修电话4009003600转3(注意在插拔中频电缆之前，请将接收机的电源线拔掉)。3）若接收机前面板指示灯均正常，请检查网线是否正确插在接收机背面的LAN2口，HN7700使用交叉线或直通线均可（连接卫星接收单元及行情接收PC的switch请关闭IPIGMPSNOOPING功能），使用ping命令检查能否ping通卫星接收机。	['行情', '接收', '软件', '接收', '不到', '任何', '数据包']	 行情 接收 软件 接收 不到 数据包
客户申请“QFII业务服务”，接入上交所专线方式有几种？	一共有三种接入方式供选择一、电信2MSDH接入；二、联通2MSDH接入；三、托管机房线路接入（仅限上交所技术的托管机房客户）。	['客户', '申请', '业务', '服务', '接入', '上交所', '专线', '方式', '有', '几种']	 客户 申请 业务 服务 接入 上交所 专线 方式 几种
只选择一种接入方式可以吗？	客户必须选择至少2种不同的接入方式，仅用1种接入方式存在单点故障。	['只', '选择', '一种', '接入', '方式', '可以', '吗']	 只 选择 一种 接入 方式
何为“日凌”现象？	太阳会在每年春分秋分时经过地球赤道上空，而地球同步卫星的运行轨道与地球赤道在同一平面上，与地球保持同步转动，因此，春分和秋分前后的每天中午时分，卫星将处在太阳与地球之间的直线上，此时，对准地球同步卫星的接收天线同时也对准了太阳，使太阳产生的强大的电磁波直接投射在地球站天线上。而春分秋分前后是太阳离地球距离最近、辐射最强的时候，所以这时候卫星信号的传输会受到严重干扰，线路质量严重恶化甚至导致通信中断，这种现象称为卫星通信的“日凌”现象。上海证券交易所的卫星通信网络也同样不同程度地受到日凌的干扰，干扰的起止日期及每天受干扰的持续时间，与各地球站的地理位置、天线口径等因素有关，即天线大，干扰的起止日期短，每天持续时间亦短；天线小，则干扰的起止日期长，每天持续时间亦长。在受干扰期间，卫星通信可能会中断，请不要开关任何设备和做不必要的操作，等干扰过后，通信会自动恢复。	['何为', '日凌', '现象']	 何为 日凌 现象
如选择托管机房线路接入，应如何申请，是否有费用？	客户应直接向上海证通申请托管机房线路接入，使用托管机房线路须单独交纳月租费，收费标准以服务协议为准。	['如', '选择', '托管', '机房', '线路', '接入', '应', '如何', '申请', '是否', '有', '费用']	 选择 托管 机房 线路 接入 应 申请 是否 费用
市场参与者网络发生中断，应如何处理？	首先尝试重新连接主用线路，如果不能恢复应立即切换至备用线路。确定不是内部网络故障及线路故障后，向上海证通报修，报修热线4009003600转3。	['市场', '参与者', '网络', '发生', '中断', '应', '如何', '处理']	 市场 参与者 网络 发生 中断 应 处理
SR可以收到一般消息，但收不到交易所以短消息形式发送的排行榜数据，怎么回事？	检查行情接收程序安装目录下的dxwx.cfg文件中，短消息[M_castMSG]对应的WANTIMEOUT是否是-1，若不是-1请修改为-1后后重新运行接收程序。	['可以', '收到', '一般', '消息', '但', '收不到', '交易', '所以', '短消息', '形式', '发送', '的', '排行榜', '数据', '怎么回事']	 收到 一般 消息 收不到 交易 短消息 形式 发送 排行榜 数据 怎么回事
SR收不到任何单点发送的文件？	1）请先确认是否能从PC机ping通卫星接收机，若无法ping通请检查网线是否可靠连接、是否插在卫星接收机的LAN2口；2）请确认单点接收饼图中的灯（行情指示灯除外）都处于绿色闪烁状态。若否，检查配置文件中是否将对应线程设为自动启动（RUN_COMMAND=1）；3）若灯都是绿色闪烁状态，请检查“单点接收明细”中对应的收到包数是否不断变大。如果变大基本可以认为网络正常，可以和交易所技术规划与服务部（4009003600转1）联系确认具体问题；4）若字节数不跳动，请与通信公司运行机房（4009003600转3）联系，要求通信公司发送测试文件以检查线路状况。	['收不到', '任何', '单点', '发送', '的', '文件']	 收不到 单点 发送 文件
SR接收软件显示“队列已满”	此种情况发生在行情接收软件存储路径为网络服务器的情况下，由于网络速度慢导致接收到的行情包来不及写到硬盘上。解决办法1）在行情接收软件的配置文件dxwx.cfg中，修改存储路径为本地硬盘；2）检查本地网络，调整网络提高访问速度。	['接收', '软件', '显示', '队列', '已满']	 接收 软件 显示 队列 已满
SR弹出对话框说“XUHAONOTFOUND”！	宽带广播成交回报格式和DOS版本单向的成交回报文件格式不同。如果你选定的成交回报文件名正好在盘上已经有个同名的老单向成交回报文件在那里，本程序就会在检查文件格式时发现错误。解决方法让宽广成交回报文件名与盘上已有文件不同，或者简单删除不再需要的老格式文件（先备份）。注意这个对话框不是指小站序列号找不到！	['弹', '出', '对话框', '说']	 弹 出 对话框 说
使用什么版本的客户端软件来接收地面行情？	目前使用“上证地面备份行情接收软件V3.0”	['使用', '什么', '版本', '的', '客户端', '软件', '来', '接收', '地面', '行情']	 使用 版本 客户端 软件 接收 地面 行情
执行SR程序，弹出提示框，关于清理文件的，怎样理解？	这里提醒的是需要清理用以存放所接受文件的目录，在每天第一次使用前需要被清理一次。	['执行程序', '弹', '出', '提示框', '关于', '清理', '文件', '的', '怎样', '理解']	 执行程序 弹 出 提示框 清理 文件 理解
部署BiTrans的行情接收PC机可以使用何种操作系统？	建议使用Windows2000或WindowsXP操作系统。	['部署', '的', '行情', '接收机', '可以', '使用', '何种', '操作系统']	 部署 行情 接收机 使用 何种 操作系统
我把SR的成交回报的CJ_FILENAMEPATH设到一个目录上，可是程序启动后马上弹出对话框说“Can'topen该目录名”。	成交回报的CJ_FILENAMEPATH应该对应一个DBF文件名而非目录。	['我', '把', '的', '成交', '回报', '的', '设到', '一个', '目录', '上', '可是', '程序', '启动', '后', '马上', '弹', '出', '对话框', '说', '该', '目录名']	 我 成交 回报 设到 目录 上 程序 启动 后 马上 弹 出 对话框 说 目录名
上证地面备份行情接收软件如何安装？	下载“上证地面备份行情接收软件V3.0”，解压后安装，程序自动安装在C:\biTransClientV3\目录下。本软件为绿色软件。	['上证', '地面', '备份', '行情', '接收', '软件', '如何', '安装']	 上证 地面 备份 行情 接收 软件 安装
SDH/MSTP常见问题解答		['常见', '问题解答']	 常见 问题解答
地面备份行情软件BiTrans多次登录失败后造成令牌被锁，应该如何处理？	地面备份行情软件BiTrans多次登录失败后会造成令牌被锁，此情形下可致电021-68800087做令牌解锁。	['地面', '备份', '行情', '软件', '多次', '登录', '失败', '后', '造成', '令牌', '被', '锁', '应该', '如何', '处理']	 地面 备份 行情 软件 多次 登录 失败 后 造成 令牌 锁 应该 处理
UT5.0和UT4.0的区别在哪里？	UT5.0全面支持上海证通发布的各类业务信息，是UT4.0的升级版本，它有以下主要特点；	['和', '的', '区别', '在', '哪里']	 区别
在宽带广播系统行情接收程序SR的配置文件中，修改了默认的路径，为什么文件还是放在原来的路径里？	还要修改配置文件中的DIR_RULE的值。	['在', '宽带', '广播系统', '行情', '接收', '程序', '的', '配置文件', '中', '修改', '了', '默认', '的', '路径', '为什么', '文件', '还是', '放在', '原来', '的', '路径', '里']	 宽带 广播系统 行情 接收 程序 配置文件 中 修改 默认 路径 文件 放在 原来 路径 里
如何修改地面备份行情程序BiTrans的接收目录？	在成功运行过一次程序后，打开程序安装目录下的biTransClient.ini文件，就可以看到修改接收目录的相关参数。	['如何', '修改', '地面', '备份', '行情', '程序', '的', '接收', '目录']	 修改 地面 备份 行情 程序 接收 目录
请问UT5客户端IP和ID是什么，配置文件中的<DeviceDesc>怎么填？	如果是单向卫星用户，UT客户端IP=宽广机顶盒IP地址末位改成18,即如果宽广机顶盒IP地址为A.B.C.1，则UT客户端IP=A.B.C.18，港股行情用户也可以配置IP=A.B.C.11，作为备份接收客户端的IP。用户在UT技术支持群（306752972）共享中，下载《UT5ID查询器》，输入IP地址，以获得客户端ID。DeviceDesc填写自己公司名称，仅供浏览器显示用途。数据中心用户请直接询问QQ群（306752972）管理员。	['请问', '客户端', '和', '是', '什么', '配置文件', '中', '的', '怎么', '填']	 请问 客户端 配置文件 中 填
BiTrans客户端软件如何登录并进行接收？	必须输入用户名和密码，密码为4位固定的pin码加上6位动态令牌码。登录服务器有192.10.5.100/106/107三台，可任选一台登录。登录前请保证网络通信正常。	['客户端', '软件', '如何', '登录', '并', '进行', '接收']	 客户端 软件 登录 进行 接收
如BiTrans令牌丢失或损坏，应该如何处理？	请登录点击“产品服务”-“行情类”-“地面行情”-“产品申请”栏下的《上交所技术公司令牌服务申请指引》并查看，可致电市场部办理相关流程，联系电话021-58656238。http://www.stocom.net	['如', '令牌', '丢失', '或', '损坏', '应该', '如何', '处理']	 令牌 丢失 损坏 应该 处理
UT5.0的QQ技术支持群号是什么？怎么加入？	在QQ搜索群号306752972（UT技术支持群）或128952085（UT技术支持二群），填写自己的公司和姓名，申请加入。加入后请立即修改自己的群名片为公司名-姓名。	['的', '技术支持', '群号', '是', '什么', '怎么', '加入']	 技术支持 群号 加入
UT、BT、SR和EzSR是什么关系？	SR和EzSR是上海证券交易所的官方行情发布软件，EzSR是SR的升级版本（SR已下线）；UT和BT是上交所技术公司（原上海证券通信有限责任公司）的多交易所行情及信息发布软件，UT通过UDP协议单向推送行情及其它信息文件，BT通过TCP协议连接上证通的服务器来接收行情及其它信息文件。UT不仅可以接收到上交所的行情及文件，还可以接收沪港通港股行情、深交所五档行情、股转行情、中金所一档行情及乾隆大智慧上海十档行情。目前UT系统仅向单向卫星及托管机房用户推送行情及信息，可以作为SR和EzSR的异构备份。	['和', '是', '什么', '关系']	 关系
如何卸载UT5？	UT5是绿色软件，不会修改Windows注册表。请直接删除UT5目录删除即可。	['如何', '卸载']	 卸载
系统安装完成后，运行UT5.exe，弹出了一个IE浏览器窗口，显示无法连接，并且UT5客户端告警，“Addressnotavailable”，是怎么回事？	请打开utconfig.xml文件，检查网卡绑定的部分<InterfaceID=“nnnn”Desc=“卫星链路”IP=“X.X.X.X”PORT=“9902”UCPORT=“9900”/>其中X.X.X.X必须是UT5客户端所在PC连接卫星的网卡IP地址，nnnn必须是一个4位数，且在《宽广小站IP-ID对应表》中，nnnn和X.X.X.18相对应。同时请确认<ListenIP=“230.13.1.1”PORT=“9902”/>没有被修改。完成修改后，重新开启客户端软件。	['系统', '安装', '完成', '后', '运行', '弹出', '了', '一个', '浏览器', '窗口', '显示', '无法', '连接', '并且', '客户端', '告警', '是', '怎么回事']	 系统 安装 完成 后 运行 弹出 浏览器 窗口 显示 无法 连接 客户端 告警 怎么回事
UT5可以在什么操作系统环境下运行?	经测试，目前的UT5可以在32位和64位的中文WindowsXP,Windows2003,WindowsVista,Windows7，Windows2008的各个版本运行。	['可以', '在', '什么', '操作系统', '环境', '下', '运行']	 操作系统 环境 下 运行
为何UT5可以收到上海和深圳基本行情数据但始终收不到港股行情、中金所、钱龙或大智慧等增值业务数据？		['为何', '可以', '收到', '上海', '和', '深圳', '基本', '行情', '数据', '但', '始终', '收不到', '港股', '行情', '中金', '所', '钱', '龙', '或', '大', '智慧', '等', '增值', '业务', '数据']	 收到 上海 深圳 基本 行情 数据 始终 收不到 港股 行情 中金 钱 龙 大 智慧 增值 业务 数据
可否在一台卫星机顶盒下连接多台PC运行UT5软件？如何设置IP地址和ID号？	可以在一台卫星接收机后连接多台UT5的接收PC，如果仅需接收沪深五档行情及公告信息，可以接在机顶盒LAN1或LAN2口，IP地址无限制；如需接收沪港通港股行情、乾隆大智慧十档行情或盘后清算数据、深交所新一代行情备份，则必须把PC机的IP地址设为.18结尾，地址为.11的原SR接收PC可以作为备用接收PC，并通过直连或交换机连接到机顶盒LAN2口。用户可以在QQ群文件中下载《UT5ID查询器》，输入IP地址，获得客户端ID。	['可否', '在', '一台', '卫星', '机顶盒', '下', '连接', '多台', '运行', '软件', '如何', '设置', '地址', '和', '号']	 可否 一台 卫星 机顶盒 下 连接 多台 运行 软件 设置 地址
UT5怎么配置深交所行情库和股转行情库分开放不同目录？	请在utconfig.xml<ServiceID>之后中增加一行<DIRRULEID=“203”PATTERN=“nq*.*”PATH=“C:\UT5\nqinfo”/>请自己修改PATH参数。	['怎么', '配置', '深交所', '行情', '库', '和', '股转', '行情', '库分', '开放', '不同', '目录']	 配置 深交所 行情 库 股转 行情 库分 开放 不同 目录
为什么UT5浏览器监控界面不自动刷新？	请打开浏览器的Javascript运行权限，并将127.0.0.1加入可信站点。	['为什么', '浏览器', '监控', '界面', '不', '自动', '刷新']	 浏览器 监控 界面 不 自动 刷新
为何UT5落地文件的修改时间不是当前时间？	UT5将信息源文件完全复制到客户端，文件修改时间也保持一致。	['为何', '落地', '文件', '的', '修改', '时间', '不是', '当前', '时间']	 落地 文件 修改 时间 不是 当前 时间
关于UT5程序，为什么点击接收监控，选择重启或关闭接收系统，提示没有权限？	请检查utconfig.xml中有无<AuthUserIP=“127.0.0.1”/>这行内容，如无，请修改或添加。强制关闭接收软件可以在windows任务管理器中关闭名称为ut5.exe和kernel.bin的进程。	['关于', '程序', '为什么', '点击', '接收', '监控', '选择', '重启', '或', '关闭', '接收', '系统', '提示', '没有', '权限']	 程序 点击 接收 监控 选择 重启 关闭 接收 系统 提示 没有 权限
我的UT5可以使用机顶盒LAN1接收信息吗？	可以，但是只能接收到沪深基础行情和公告信息，不能接收港股行情、中金所行情、钱龙大智慧十档行情等增值业务数据和盘后清算数据。	['我', '的', '可以', '使用', '机顶盒', '接收', '信息', '吗']	 我 使用 机顶盒 接收 信息
UT5客户端日志中提示无法创建行情文件csi????????.txt，怎么办？	文件落到NOVELL服务器后，可能会出现服务器不支持长文件名的问题，一种解决方法是在服务器上加载长文件名模块，具体方法为，在服务器上执行命令loadlongaddnamespacelongto卷名或者可以将长文件名的文件落到本地硬盘。修改utconfig.xml，在DirRule区域增加以下命令改，将长文件名的文件转存到本地目录。<DirRuleID=“202”PATTERN=“csi*.*”PATH=“C:\UT5\CSI”/>	['客户端', '日志', '中', '提示', '无法', '创建', '行情', '文件', '怎么办']	 客户端 日志 中 提示 无法 创建 行情 文件
重启UT5时，为何关闭了浏览器，再点击接收程序，却提示程序已运行？	正确重启接收程序的方法是，在浏览器监控界面，点击接收监控，选择重启接收系统。关闭浏览器，并不会关闭接收程序。如果程序已运行，浏览器已关闭，可以重新打开浏览器，在浏览器中输入地址http://127.0.0.1:9080/itsc?t=main	['重启', '时', '为何', '关闭', '了', '浏览器', '再', '点击', '接收', '程序', '却', '提示', '程序', '已', '运行']	 重启 时 关闭 浏览器 再 点击 接收 程序 却 提示 程序 已 运行
目前FAST行情能通过什么方式接收？	目前fast行情有以下4种接收方式	['目前', '行情', '能', '通过', '什么', '方式', '接收']	 目前 行情 方式 接收
mktdt00.txt刷新频度？	mktdt00.txt当前刷新频率为3秒一幅。	['刷新', '频度']	 刷新 频度
